PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5524132.00;1.000;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3856074.00;1.000;34; ;PUESTO NO ADMINISTRATIVO
DECANO;6148718.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;777375.00;1.000;15; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;486502.00;0.250;23; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;815393.50;0.500;12; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2315900.00;1.000;30; ;PROFESIONAL EN DISEÑO GRÁFICO                                                                                                                                                                                                                                   
JEFE B;3876317.00;1.000;28; ;JEFE ADMINISTRATIVO DE VICERRECTORÍA                                                                                                                                                                                                                            
PROFESIONAL B;2590826.00;1.000;26; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
PROFESOR INSTRUCTOR                    ;241223.15;0.125;25; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3181875.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3574650.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;1123902.00;1.000;26; ;NIÑERA                                                                                                                                                                                                                                                          
TECNICO ESPECIALIZADO B;1762741.00;1.000;35; ;TÉCNICO EN GESTIÓN DE POSGRADOS B                                                                                                                                                                                                                               
TRABAJADOR OPERATIVO B;1263086.00;1.000;29; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL B;2973428.00;1.000;28; ;PROFESIONAL EN APOYO DE EVALUACIÓN DE PLANES UNIVERSITARIOS                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;225600.75;0.250;8; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2767914.00;1.000;21; ;PROFESIONAL EN PLANIFICACIÓN PRESUPUESTARIA                                                                                                                                                                                                                     
TECNICO ESPECIALIZADO B;1738857.00;1.000;34; ;ASISTENTE EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                          
PROFESOR CATEDRATICO                   ;4212321.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1939462.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3768707.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1738857.00;1.000;34; ;TÉCNICO DE LABORATORIO EN PRESERVACIÓN DE MUESTRAS BIOLÓGICAS                                                                                                                                                                                                   
TECNICO ESPECIALIZADO D;2163507.00;1.000;39; ;TÉCNICO EN REGISTROS CONTABLES                                                                                                                                                                                                                                  
TECNICO ASISTENCIAL B;1571217.00;1.000;35; ;ASISTENTE DE ALMACENAMIENTO Y DISTRIBUCIÓN                                                                                                                                                                                                                      
